"TEAMTHUMB","TEAMNAME","GAMECNT","WIN","DRAW","LOSE","FOR_GOAL","AGAINST_GOAL","FOR_AGAINST_GOAL","POINT","RANKING"
"Chealsea.png","Chelsea",34,24,8,2,68,27,,,1
"mancity.png","Manchester City",34,20,7,7,70,36,,,20
"arsenal.png","Arsenal",33,20,7,6,63,32,,,3
"manchesterUnited.png","Manchester U",34,19,8,7,59,34,,,4
"liverpool.png","Liverpool",34,17,7,10,47,37,,,5
"tottnum.png","Tottenham",34,17,7,10,55,49,,,6
"Southampton-FC-icon.png","Southampton",34,17,6,11,47,26,,,7
"swange.png","Swansea City",34,14,8,12,41,44,,,8
"stokeCity.png","Stoke City",34,13,8,13,39,42,,,9
"Everton.png","Everton",34,11,11,12,44,43,,,10
"westHam.png","West Ham",34,11,11,12,42,42,,,11
"crystalPalace.png","Crystal Palace",34,11,9,14,42,47,,,12
"westBrom.png","West Bromwich",34,9,10,15,32,46,,,13
"newcastle.png","Newcastle",34,9,8,17,36,57,,,14
"hull_city.png","Hull City",34,8,10,16,32,45,,,15
"AstonVilla.png","Aston Villa",34,8,8,18,26,48,,,16
"leicester-city-logo232.png","Leicester City",34,8,7,19,36,54,,,17
"sunderland.png","Sunderland",33,5,15,13,26,49,,,18
"Queens-Park-Rangers-icon.png","Queens Park",34,7,6,21,38,59,,,19
"Burnley-FC-icon.png","Burnley",34,5,11,18,26,52,,,2
